 88	608		2.77	0.0220	0.00000596
 89	933		2.86	0.0187	0.00000521
 90	437		2.95	0.0161	0.00000453
 91	466		2.76	0.0223	0.00000396
 92	242		3.16	0.0110	0.00000340
 93	349		2.87	0.0185	0.00000295
 94	332		3.13	0.0116	0.00000253
 95	835		2.58	0.0312	0.00000222
 96	199		2.55	0.0329	0.00000195
 97	340		2.86	0.0191	0.00000169
 98	510		2.47	0.0381	0.00000148
 99	 40		2.28	0.0534	0.00000132
100	412		2.38	0.0450	0.00000116
101	426		2.93	0.0172	0.00000099
102	1017		2.62	0.0297	0.00000086
103	1088		2.78	0.0225	0.00000074
104	903		2.40	0.0441	0.00000065
105	928		2.58	0.0319	0.00000056
106	1002		2.41	0.0429	0.00000049
107	119		2.28	0.0543	0.00000043
108	1022		2.27	0.0554	0.00000038
109	316		2.61	0.0306	0.00000032
110	827		2.69	0.0269	0.00000027
111	306		2.71	0.0261	0.00000023
112	785		2.61	0.0311	0.00000020
113	574		2.55	0.0350	0.00000017
114		786	1.61	0.1667	0.00000019
115	938		2.74	0.0250	0.00000016
116	872		3.05	0.0149	0.00000013
117	741		2.70	0.0273	0.00000011
118	837		2.60	0.0323	0.00000009
119	421		2.73	0.0258	0.00000008
120	830		2.38	0.0473	0.00000007
121	301		2.46	0.0414	0.00000006
122		340	1.68	0.1513	0.00000006
123	 34		2.70	0.0277	0.00000005
124	1043		2.75	0.0254	0.00000004
125	 56		2.73	0.0264	0.00000004
126	151		3.08	0.0147	0.00000003
127	810		3.07	0.0150	0.00000002
128	707		3.24	0.0113	0.00000002
129	485		3.83	0.0043	0.00000001
130	580		3.21	0.0122	0.00000001
131	177		2.89	0.0210	0.00000001
132	209		2.70	0.0290	0.00000001
133	132		2.68	0.0300	0.00000001
134	849		2.72	0.0284	0.00000001
135	 99		2.58	0.0356	0.00000000
136	399		2.75	0.0273	0.00000000
137		845	1.37	0.2489	0.00000000
138	817		2.48	0.0425	0.00000000
139		601	1.49	0.2076	0.00000000
140	590		2.66	0.0317	0.00000000
141	560		2.65	0.0325	0.00000000
142	 69		2.64	0.0329	0.00000000
143	 82		2.61	0.0351	0.00000000
144	 29		2.88	0.0229	0.00000000
145	555		2.50	0.0420	0.00000000
146		938	1.64	0.1666	0.00000000
147		513	1.27	0.2890	0.00000000
148	957		3.10	0.0160	0.00000000
149	471		2.76	0.0280	0.00000000
150	552		2.69	0.0316	0.00000000
151	931		2.85	0.0246	0.00000000
152	320		3.06	0.0177	0.00000000
153		399	1.68	0.1564	0.00000000
154	758		2.82	0.0260	0.00000000
155	1060		2.90	0.0231	0.00000000
156	265		2.49	0.0448	0.00000000
157	274		2.65	0.0351	0.00000000
158	234		2.92	0.0233	0.00000000
159	138		3.03	0.0197	0.00000000
160	544		3.05	0.0194	0.00000000
161	 81		2.62	0.0381	0.00000000
162	1031		2.42	0.0527	0.00000000
163	168		2.63	0.0386	0.00000000
164	 14		3.63	0.0088	0.00000000
165	346		2.59	0.0418	0.00000000
166	408		3.36	0.0135	0.00000000
167	285		3.11	0.0199	0.00000000
168	 53		3.22	0.0173	0.00000000
169	515		3.44	0.0130	0.00000000
170	789		3.06	0.0227	0.00000000
171	1055		4.19	0.0050	0.00000000
172	303		3.24	0.0186	0.00000000
173	214		2.99	0.0269	0.00000000
174	1015		3.70	0.0108	0.00000000
175	793		3.53	0.0138	0.00000000
176	206		3.32	0.0189	0.00000000
177	1034		3.34	0.0191	0.00000000
178	 54		3.19	0.0240	0.00000000
179	150		4.01	0.0092	0.00000000
180	623		4.14	0.0084	0.00000000
181	237		5.35	0.0025	0.00000000
182		957	1.76	0.1641	0.00000000
183		552	1.63	0.1929	0.00000000
184	198		6.80	0.0006	0.00000000
185	989		5.11	0.0032	0.00000000
186	1051		3.76	0.0147	0.00000000
187	169		4.04	0.0115	0.00000000
188		182	1.79	0.1627	0.00000000
189	905		3.43	0.0223	0.00000000
190	190		3.74	0.0169	0.00000000
191	951		3.71	0.0187	0.00000000
192	879		5.13	0.0054	0.00000000
193	557		6.47	0.0021	0.00000000
194	  5		6.56	0.0024	0.00000000
195	406		8.27	0.0011	0.00000000
196	141		7.88	0.0017	0.00000000
197	450		8.03	0.0021	0.00000000
198	579		11.70	0.0006	0.00000000
199		437	1.65	0.2327	0.00000000
200	502		6.38	0.0065	0.00000000
201	911		6.99	0.0063	0.00000000
202	312		10.14	0.0026	0.00000000
203	197		15.11	0.0012	0.00000000
204	 96		16.44	0.0019	0.00000000
205	307		46.79	0.0003	0.00000000
206	102		160.97	0.0001	0.00000000
207	592		64.05	0.0030	0.00000000
208	853		59.53	0.0166	0.00000000
209	507		1224.65	0.0217	0.00000000
